# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
51.0000, 65.0000, 0.5673, 0.0000, 0.2999, 0.0000, 0.3000, 0.0000, 0.0109, 0.0088, 0.0037, 0.0000
